"Actief";"Categorie";"Tonen op pagina's";"Volgorde";"Vraag (NL)";"Antwoord (NL)";"Vraag (EN)";"Antwoord (EN)";"Beeld (optioneel)";"Alt-tekst NL";"Alt-tekst EN"
"ja";"algemeen";"home";"1";"Wat levert professionele eventcontent concreet op na mijn event?";"Eén event levert 25+ kant-en-klare items op: foto's, aftermovies en interviews in de formaten die je marketeer direct kan plaatsen. Je haalt maanden content uit één productiedag, terwijl het event nog vers in het geheugen zit.";"What does professional event content deliver after my event?";"One event yields 25+ ready-to-use items: photos, aftermovies and interviews in formats your marketing team can publish directly. You get months of content from a single production day, while the event is still top of mind.";"";"";""
"ja";"algemeen";"home";"2";"Voor welke soorten events werkt Eventshoot.nl het best?";"Eventshoot.nl is gespecialiseerd in zakelijke events: congressen, conferenties, ledendagen, seminars en bedrijfsbijeenkomsten. Informele feesten en consumentenevents vallen buiten onze focus.";"Which types of events is Eventshoot.nl best suited for?";"Eventshoot.nl specialises in corporate events: congresses, conferences, member days, seminars and business meetings. Informal parties and consumer events are outside our focus.";"";"";""
"ja";"algemeen";"home";"3";"Hoe snel is de content klaar na afloop?";"Standaard binnen 48 uur na het event. Same-day levering is mogelijk als add-on. Zo kan je marketeer posten terwijl deelnemers het event nog bespreken op LinkedIn.";"How quickly is the content ready after the event?";"Standard delivery within 48 hours after the event. Same-day delivery is available as an add-on. Your marketing team can post while attendees are still discussing the event on LinkedIn.";"";"";""
"ja";"algemeen";"home";"4";"Gebruikt Eventshoot.nl AI voor de beelden?";"Nee. Alles wat je krijgt is echt opgenomen op jouw event, met echte mensen en professionele apparatuur. AI wordt alleen gebruikt in de nabewerking, zoals selectie, transcriptie en ondertiteling.";"Does Eventshoot.nl use AI for the visuals?";"No. Everything you receive is genuinely recorded at your event, with real people and professional equipment. AI is only used in post-production, such as selection, transcription and subtitling.";"";"";""
"ja";"algemeen";"home";"5";"Moet mijn organisatie iemand hebben die de content uitrolt?";"Ja, dat werkt het best. Eventshoot.nl produceert, jij plaatst. Een marketeer, communicatiemedewerker of social media-manager die de content op LinkedIn, je website en in je nieuwsbrief zet, is de ideale fit.";"Does my organisation need someone to publish the content?";"Yes, that works best. Eventshoot.nl produces, you publish. A marketer, communications officer or social media manager who posts on LinkedIn, your website and newsletter is the ideal fit.";"";"";""
"ja";"algemeen";"home";"6";"Werken jullie door heel Nederland?";"Ja. Eventshoot.nl is actief door heel Nederland. Reis- en transportkosten worden separaat berekend en vooraf besproken.";"Do you work throughout the Netherlands?";"Yes. Eventshoot.nl is active throughout the Netherlands. Travel and transport costs are calculated separately and discussed in advance.";"";"";""
"ja";"eventfotografie";"eventfotografie";"1";"Hoeveel foto's ontvang ik na een event?";"Afhankelijk van het pakket ontvang je 100 tot 300 bewerkte foto's. Het Highlight-pakket levert 100–150 foto's, Headline 150–200 en Heroes 200–300. Allemaal kant-en-klaar voor direct gebruik.";"How many photos do I receive after an event?";"Depending on the package you receive 100 to 300 edited photos. The Highlight package delivers 100–150 photos, Headline 150–200 and Heroes 200–300. All ready for immediate use.";"";"";""
"ja";"eventfotografie";"eventfotografie";"2";"In welke formaten worden de foto's geleverd?";"Horizontaal voor je website, 4:5 voor LinkedIn en verticaal voor Stories en Reels. Je marketeer hoeft niets meer bij te snijden of te formatteren.";"In which formats are the photos delivered?";"Horizontal for your website, 4:5 for LinkedIn and vertical for Stories and Reels. Your marketing team does not need to crop or reformat anything.";"";"";""
"ja";"eventfotografie";"eventfotografie";"3";"Valt de fotograaf op tijdens het event?";"Nee. Rolf werkt discreet en zelfstandig. Hij kent het programma, stemt vooraf af met locatie en techniek, en legt de sleutelmomenten vast zonder in de weg te lopen.";"Is the photographer obtrusive during the event?";"No. Rolf works discreetly and independently. He knows the programme, aligns with the venue and AV team in advance, and captures key moments without getting in the way.";"";"";""
"ja";"eventfotografie";"eventfotografie";"4";"Kunnen jullie ook een groepsfoto regelen?";"Ja. Groepsfoto-momenten worden vooraf afgestemd, inclusief timing en locatie op het programma. Rolf schakelt makkelijk tussen technici en directiekamer.";"Can you also arrange a group photo?";"Yes. Group photo moments are agreed in advance, including timing and location on the programme. Rolf moves easily between technical staff and boardroom level.";"";"";""
"ja";"eventfotografie";"eventfotografie";"5";"Wat als het podium donker is of de slides slecht leesbaar zijn?";"Dat bespreken we vooraf met locatie en techniek. Backdrop, podiumlicht en presentatieformat worden doorgenomen voordat de eerste gast binnenkomt. Geen toeval, wel verschil.";"What if the stage is dark or slides are hard to read?";"We discuss this in advance with the venue and AV team. Backdrop, stage lighting and presentation format are reviewed before the first guest arrives. No guesswork.";"";"";""
"ja";"eventfotografie";"eventfotografie";"6";"Kan ik foto en video combineren in één opdracht?";"Ja. De pakketten Headline en Heroes combineren foto en video standaard. Liever alleen foto? Dat kan ook. Bekijk de pakketten op de tarievenpagina of plan een kennismaking.";"Can I combine photo and video in one assignment?";"Yes. The Headline and Heroes packages combine photo and video as standard. Prefer photo only? That is possible too. See the packages on the pricing page or schedule an introductory call.";"";"";""
"ja";"eventvideo";"eventvideo";"1";"Welke soorten eventvideo's maakt Eventshoot.nl?";"Social aftermovies (45–90 sec voor LinkedIn), corporate aftermovies (90–180 sec voor je website), event interviews met sprekers en deelnemers, en event promotievideo's voor de volgende editie.";"What types of event videos does Eventshoot.nl produce?";"Social aftermovies (45–90 sec for LinkedIn), corporate aftermovies (90–180 sec for your website), event interviews with speakers and attendees, and event promo videos for the next edition.";"";"";""
"ja";"eventvideo";"eventvideo";"2";"Hoe lang duurt een aftermovie?";"De social aftermovie duurt 45–90 seconden, ideaal voor LinkedIn. Het Headline- en Heroes-pakket leveren daarnaast een corporate aftermovie van 90–180 seconden voor je website.";"How long is an aftermovie?";"The social aftermovie runs 45–90 seconds, ideal for LinkedIn. The Headline and Heroes packages also include a corporate aftermovie of 90–180 seconds for your website.";"";"";""
